subject,session,path,status,plan_a,dur_min,n_units,evr_pc1,run_src,has_running,r_simple,lag_simple,p_simple,r_partial,p_partial,lag_partial,r_run_pc1,p_run_pc1,r_run_pupil,p_run_pupil
733457986,757216464.nwb,sub-733457986/sub-733457986_ses-757216464.nwb,ok,True,20.617504635278628,88,0.0801320705250251,processing:running/running_speed,True,0.43490786279023336,1.2000000000000002,0.03798100949525238,0.3483924883147856,0.08345827086456771,0.55,0.19965874552028248,0.12043978010994502,0.5508598359348819,0.004997501249375313
734865729,756029989.nwb,sub-734865729/sub-734865729_ses-756029989.nwb,ok,True,20.61779136068051,52,0.1260749031447173,processing:running/running_speed,True,0.7087389757528268,0.7000000000000001,0.004497751124437781,0.6965944761404339,0.005497251374312844,0.0,0.28758398081080616,0.004997501249375313,0.5793165959959936,0.004997501249375313
735109599,758798717.nwb,sub-735109599/sub-735109599_ses-758798717.nwb,ok,True,20.617506236015412,47,0.1396295197591527,processing:running/running_speed,True,0.20675172863332605,1.2000000000000002,0.10994502748625687,0.20000817132544904,0.1904047976011994,1.05,0.044423458533812736,0.3803098450774613,0.5203471493722044,0.004997501249375313
738651046,760693773.nwb,sub-738651046/sub-738651046_ses-760693773.nwb,ok,True,20.61750190919173,92,0.07783259039824365,processing:running/running_speed,True,0.28502521922634066,-0.1,0.20689655172413793,0.07136284080918519,0.792103948025987,-1.0,0.758041428946706,0.004997501249375313,0.4027630515603045,0.004997501249375313
739783158,760345702.nwb,sub-739783158/sub-739783158_ses-760345702.nwb,ok,True,20.61750353079783,77,0.1197395257397112,processing:running/running_speed,True,0.7182465156523578,0.8,0.00399800099950025,0.46910380233625826,0.005497251374312844,0.0,0.6546744911855388,0.02798600699650175,0.6871086808172276,0.004997501249375313
740268983,759883607.nwb,sub-740268983/sub-740268983_ses-759883607.nwb,ok,True,20.617501011810916,67,0.11456895429665925,processing:running/running_speed,True,0.6427729048478753,3.0,0.09745127436281859,0.37790804794461386,0.005497251374312844,0.0,0.6018504933695343,0.06946526736631684,0.6890639474962099,0.004997501249375313
742602884,763673393.nwb,sub-742602884/sub-742602884_ses-763673393.nwb,ok,True,21.117924101564014,74,0.08467427069403378,processing:running/running_speed,True,0.6936853697589334,0.8500000000000001,0.00399800099950025,0.5448907482810345,0.004497751124437781,0.9500000000000001,0.33144840535496656,0.004997501249375313,0.3678916420690659,0.00399800099950025
742714472,761418226.nwb,sub-742714472/sub-742714472_ses-761418226.nwb,ok,True,21.11792177385872,38,0.1636689779450859,processing:running/running_speed,True,0.8384536082450009,0.5,0.004997501249375313,0.7047062408471878,0.004997501249375313,0.0,0.7357803948428999,0.004997501249375313,0.6811916912337352,0.00399800099950025
744915196,762602078.nwb,sub-744915196/sub-744915196_ses-762602078.nwb,ok,True,21.11792258495193,80,0.12198329830037011,processing:running/running_speed,True,0.6437574468473249,0.45,0.004997501249375313,0.3752554883683258,0.004997501249375313,0.0,0.512492580637744,0.004997501249375313,0.5763318376679998,0.004997501249375313
745276220,762120172.nwb,sub-745276220/sub-745276220_ses-762120172.nwb,ok,True,21.11792301497428,89,0.07777769048202932,processing:running/running_speed,True,0.5672524463403054,-2.0,0.010494752623688156,0.5132130669089713,0.004997501249375313,0.0,0.3434098382280609,0.035982008995502246,0.6695208961160097,0.004997501249375313
757329617,773418906.nwb,sub-757329617/sub-757329617_ses-773418906.nwb,ok,True,20.61750535476253,41,0.16637881482221678,processing:running/running_speed,True,0.5349211785363451,1.0,0.004497751124437781,0.31453277639058663,0.005497251374312844,0.0,0.38918321023991104,0.004997501249375313,0.4501117617351379,0.005497251374312844
769360771,791319847.nwb,sub-769360771/sub-769360771_ses-791319847.nwb,ok,True,21.11792904995021,97,0.09781997005299692,processing:running/running_speed,True,0.4004583620018596,0.8,0.00399800099950025,0.08515017846855137,0.47426286856571714,0.0,0.5724775844756687,0.004997501249375313,0.5310073023145201,0.004997501249375313
772616820,799864342.nwb,sub-772616820/sub-772616820_ses-799864342.nwb,ok,True,21.11821049555656,76,0.06847641100542662,processing:running/running_speed,True,0.14352936794459448,-0.9500000000000001,0.12993503248375812,0.17646729976068667,0.03648175912043978,-1.1500000000000001,0.07820432513975724,0.00399800099950025,0.3091833846602153,0.004497751124437781
775876808,798911424.nwb,sub-775876808/sub-775876808_ses-798911424.nwb,ok,True,21.11792476867036,96,0.09658628976486293,processing:running/running_speed,True,0.5788639140493484,-0.6000000000000001,0.004997501249375313,0.5627375417703333,0.004997501249375313,-0.45,0.15135844451383632,0.1679160419790105,0.36899475751303956,0.005497251374312844
776061236,797828357.nwb,sub-776061236/sub-776061236_ses-797828357.nwb,ok,True,21.1179272002482,87,0.1165763883811154,processing:running/running_speed,True,0.2774471618024985,-3.0,0.2813593203398301,0.2755811878523574,0.25237381309345325,-3.0,0.051936708191531324,0.44427786106946526,0.2117616738770057,0.00399800099950025
